threshold,oF1,TP,FP,FN
0.0,0.0,0,200,660
0.01,0.10218475830036126,297,4856,363
0.02,0.1352497643732328,287,3297,373
0.03,0.16869728209934395,270,2271,390
0.04,0.20560030686612965,268,1679,392
0.05,0.24357838795394154,275,1323,385
0.06,0.25853658536585367,265,1125,395
0.07,0.28602620087336245,262,910,398
0.08,0.30624263839811544,260,778,400
0.09,0.33290653008962867,260,642,400
0.1,0.33311646063760575,256,621,404
0.11,0.3274394237066143,250,617,410
0.12,0.33265993265993266,247,578,413
0.13,0.33447098976109213,245,560,415
0.14,0.34201266713581985,243,518,417
0.15,0.3453644727530078,244,509,416
0.16,0.3427362482369535,243,515,417
0.17,0.34285714285714286,240,500,420
0.18,0.3441324694024478,239,490,421
0.19,0.3352192362093352,237,517,423
0.2,0.3363957597173145,238,517,422
0.21,0.34121863799283153,238,497,422
0.22,0.3417085427135678,238,495,422
0.23,0.3490427098674521,237,461,423
0.24,0.36210847975553856,237,412,423
0.25,0.36772692009309543,237,392,423
0.26,0.36490683229813664,235,393,425
0.27,0.36363636363636365,234,393,426
0.28,0.3672182821118991,233,376,427
0.29,0.3663522012578616,233,379,427
0.3,0.36278342455043,232,387,428
0.31,0.3659305993690852,232,376,428
0.32,0.37149719775820655,232,357,428
0.33,0.37090327737809753,232,359,428
0.34,0.3696,231,359,429
0.35000000000000003,0.37126715092816787,230,349,430
0.36,0.36698717948717946,229,359,431
0.37,0.3664,229,361,431
0.38,0.3719412724306688,228,338,432
0.39,0.37285363859362225,228,335,432
0.4,0.36524537409493163,227,356,433
0.41000000000000003,0.3704305442729488,228,343,432
0.42,0.3709150326797386,227,337,433
0.43,0.3685064935064935,227,345,433
0.44,0.3709150326797386,227,337,433
0.45,0.3667205169628433,227,351,433
0.46,0.3701883701883702,226,335,434
0.47000000000000003,0.37110016420361247,226,332,434
0.48,0.369281045751634,226,338,434
0.49,0.3695829926410466,226,337,434
0.5,0.37098103874690846,225,328,435
0.51,0.37375415282392027,225,319,435
0.52,0.37375415282392027,225,319,435
0.53,0.37437603993344426,225,317,435
0.54,0.37251655629139074,225,323,435
0.55,0.3712871287128713,225,327,435
0.56,0.37593984962406013,225,312,435
0.5700000000000001,0.37583892617449666,224,308,436
0.58,0.3783783783783784,224,300,436
0.59,0.38127659574468087,224,291,436
0.6,0.3798977853492334,223,291,437
0.61,0.3834909716251075,223,280,437
0.62,0.376271186440678,222,298,438
0.63,0.3739424703891709,221,301,439
0.64,0.37681159420289856,221,292,439
0.65,0.37225042301184436,220,302,440
0.66,0.37574722459436377,220,291,440
0.67,0.3767123287671233,220,288,440
0.68,0.37833190025795355,220,283,440
0.6900000000000001,0.37606837606837606,220,290,440
0.7000000000000001,0.3767123287671233,220,288,440
0.71,0.37564322469982847,219,287,441
0.72,0.3766122098022356,219,284,441
0.73,0.37181663837011886,219,299,441
0.74,0.37055837563451777,219,303,441
0.75,0.37055837563451777,219,303,441
0.76,0.3788010425716768,218,273,442
0.77,0.3811188811188811,218,266,442
0.78,0.3744607420189819,217,282,443
0.79,0.3771626297577855,218,278,442
0.8,0.3837312113174182,217,254,443
0.81,0.38137082601054484,217,261,443
0.8200000000000001,0.3808695652173913,219,271,441
0.8300000000000001,0.38475177304964536,217,251,443
0.84,0.3891891891891892,216,234,444
0.85,0.39519852262234534,214,209,446
0.86,0.3940795559666975,213,208,447
0.87,0.3904674610449129,213,218,447
0.88,0.3846855059252507,211,226,449
0.89,0.37644959857270294,211,250,449
0.9,0.36991150442477877,209,261,451
0.91,0.36151079136690645,201,251,459
0.92,0.3566992014196983,201,266,459
0.93,0.34805194805194806,201,294,459
0.9400000000000001,0.33475661827497866,196,315,464
0.9500000000000001,0.3251063829787234,191,324,469
0.96,0.30861040068201195,181,332,479
0.97,0.26917057902973396,172,446,488
0.98,0.25162337662337664,155,417,505
0.99,0.2287756925826631,128,331,532
1.0,0.0,0,0,660
