threshold,oF1,TP,FP,FN
0.0,0.0,0,200,660
0.01,0.0,0,200,660
0.02,0.16071964017991006,268,2407,392
0.03,0.19322936477748193,254,1715,406
0.04,0.22735674676524953,246,1258,414
0.05,0.2595656670113754,251,1023,409
0.06,0.2796561604584527,244,841,416
0.07,0.3039898670044332,240,679,420
0.08,0.32483221476510066,242,588,418
0.09,0.34277620396600567,242,510,418
0.1,0.35268505079825835,243,475,417
0.11,0.34782608695652173,236,461,424
0.12,0.35037593984962406,233,437,427
0.13,0.3503427265803503,230,423,430
0.14,0.35742035742035744,230,397,430
0.15,0.36450079239302696,230,372,430
0.16,0.3656597774244833,230,368,430
0.17,0.36305220883534134,226,359,434
0.18,0.3651050080775444,226,352,434
0.19,0.36245954692556637,224,352,436
0.2,0.36363636363636365,224,348,436
0.21,0.3633414436334144,224,349,436
0.22,0.36661211129296234,224,338,436
0.23,0.3684210526315789,224,332,436
0.24,0.3771043771043771,224,304,436
0.25,0.38127659574468087,224,291,436
0.26,0.3834909716251075,223,280,437
0.27,0.3828326180257511,223,282,437
0.28,0.38169257340241797,221,277,439
0.29,0.37865748709122204,220,282,440
0.3,0.3802083333333333,219,273,441
0.31,0.37922077922077924,219,276,441
0.32,0.3808695652173913,219,271,441
0.33,0.38320209973753283,219,264,441
0.34,0.38421052631578945,219,261,441
0.35000000000000003,0.38045375218150085,218,268,442
0.36,0.3764093668690373,217,276,443
0.37,0.37597911227154046,216,273,444
0.38,0.37994722955145116,216,261,444
0.39,0.37828371278458844,216,266,444
0.4,0.37861524978089395,216,265,444
0.41000000000000003,0.3776223776223776,216,268,444
0.42,0.37543859649122807,214,266,446
0.43,0.37809187279151946,214,258,446
0.44,0.376429199648197,214,263,446
0.45,0.3787610619469027,214,256,446
0.46,0.37709251101321584,214,261,446
0.47000000000000003,0.3752212389380531,212,258,448
0.48,0.3768888888888889,212,253,448
0.49,0.37857142857142856,212,248,448
0.5,0.37823371989295274,212,249,448
0.51,0.37823371989295274,212,249,448
0.52,0.37823371989295274,212,249,448
0.53,0.38163816381638166,212,239,448
0.54,0.3830171635049684,212,235,448
0.55,0.3837837837837838,213,237,447
0.56,0.38552036199095024,213,232,447
0.5700000000000001,0.3844765342960289,213,235,447
0.58,0.38762511373976344,213,226,447
0.59,0.3904674610449129,213,218,447
0.6,0.3875685557586837,212,222,448
0.61,0.38644688644688646,211,221,449
0.62,0.38644688644688646,211,221,449
0.63,0.38278388278388276,209,223,451
0.64,0.3838383838383838,209,220,451
0.65,0.37783832879200724,208,233,452
0.66,0.37852593266606005,208,231,452
0.67,0.3820018365472911,208,221,452
0.68,0.3794683776351971,207,224,453
0.6900000000000001,0.3791208791208791,207,225,453
0.7000000000000001,0.3844731977818854,208,214,452
0.71,0.3869767441860465,208,207,452
0.72,0.3869767441860465,208,207,452
0.73,0.3869767441860465,208,207,452
0.74,0.3815668202764977,207,218,453
0.75,0.38086476540938363,207,220,453
0.76,0.38397017707362535,206,207,454
0.77,0.3857677902621723,206,202,454
0.78,0.3843283582089552,206,206,454
0.79,0.38721804511278196,206,198,454
0.8,0.3894637817497648,207,196,453
0.81,0.3857677902621723,206,202,454
0.8200000000000001,0.39275500476644426,206,183,454
0.8300000000000001,0.39122137404580154,205,183,455
0.84,0.3937924345295829,203,168,457
0.85,0.3956692913385827,201,155,459
0.86,0.398406374501992,200,144,460
0.87,0.39801980198019804,201,149,459
0.88,0.3932806324110672,199,153,461
0.89,0.39363817097415504,198,148,462
0.9,0.3897131552917903,197,154,463
0.91,0.37661050545094155,190,159,470
0.92,0.375,189,159,471
0.93,0.3748773307163886,191,168,469
0.9400000000000001,0.3698630136986301,189,173,471
0.9500000000000001,0.3627450980392157,185,175,475
0.96,0.3534136546184739,176,160,484
0.97,0.32748538011695905,168,198,492
0.98,0.3040473840078973,154,199,506
0.99,0.27176220806794055,128,154,532
1.0,0.0,0,0,660
